Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Serbia,SRB,40.9,42.2,48.1,53.45036418,62.07508046,65.3170254,67.05684137,70.33083553,73.36070915,77.41677362,78.36804077
Small states,SST,25.95270372,30.22508859,32.8786093,37.10545426,40.76960662,44.20523324,47.70393632,51.8012694,60.17165815,61.00904922,62.38905326
Sao Tome and Principe,STP,18.75,20.1612,21.5724,23,24.41,25.82,28,29.9312292,31.9,32,33
Suriname,SUR,31.59,32,34.6812,37.4,40.08,42.76382778,45.4,48.94517397,53.8,68.75,70.06
Slovak Republic,SVK,75.71,74.43999717,76.70999012,77.8826,79.98,77.63468203,80.47585728,81.62566752,80.44892248,82.8536605,89.9209082
Slovenia,SVN,70,67.33999481,68.34997453,72.6756,71.59,73.09865997,75.49850426,78.88542636,79.7499766,83.1083578,86.60130109
Sweden,SWE,90,92.76998606,93.17998801,94.7836,92.52,90.61019664,89.65094761,93.00626697,89.24696316,94.49344341,94.53943122
Eswatini,SWZ,11.04,18.13,20.78178258,24.7,25,25.64304231,28.57,30.3,41,43.16400446,47.076
Seychelles,SYC,41,43.16400446,47.076,50.4,51.25470199,54.25961786,56.51470815,58.76981124,70.1,75,79
Syrian Arab Republic,SYR,20.7,22.5,24.3001,26.2,28.09,29.97979724,31.86962727,32.7,33.77,34.65,35.78
Chad,TCD,1.7,1.9,2.1,2.5,2.9,3.5,5.8,7.4,8,9.8,10.4
Togo,TGO,3,3.5,4,4.5,5.7,7.12,11.31,12.36022497,15.5,19.3,24
Thailand,THA,22.4,23.66992562,26.46,28.94,34.89,39.31612674,47.50496562,52.89192934,56.81748093,66.65241946,77.84374066
Tajikistan,TJK,11.55,13.03,14.51,16,17.49,18.98,20.47,21.96,23.6,26.8,35.5
Turkmenistan,TKM,3,5,7.1958,9.6,12.2,14.99677482,17.99032446,21.25099741,21.64499734,22.91213403,25.98942931
Timor-Leste,TLS,3,4,7,11,17.5,18.6,21.2,24.2,27.6,29,29.1
Tonga,TON,16,25,30,32.75396061,35.95444145,38.65127243,39.95,41.24872764,46.23597546,48.88464368,53.0009696
Trinidad and Tobago,TTO,48.5,55.2,57.5,59.9,62.4,65.1,67.8,70.6,71.69,69.72946076,74.7
Tunisia,TUN,36.8,39.1,41.4416,43.8,46.16,46.49999434,49.59999484,55.50015506,64.19081023,66.6999983,71.9
Turkey,TUR,39.82,43.06571043,45.13,46.25,51.04,53.74497914,58.34773401,64.68461768,71.04276084,73.97670281,77.67
Tanzania,TZA,2.9,3.2,3.95,4.4,7,10,13.50423285,15.99999943,19,20,22
Uganda,UGA,4.3,4.6,4.8,5.1,5.4,5.7,6,8.1,10.9,14.7,19.9
Ukraine,UKR,23.3,28.70826284,35.27,40.954129,46.23597546,48.88464368,53.0009696,58.88947945,62.55315539,70.1248443,75.03790912
Uruguay,URY,46.4,51.40466106,54.45376868,57.69,61.46,64.5707871,66.4,70.3223544,80.72684288,83.35153377,86.1
United States,USA,71.69,69.72946076,74.7,71.4,73,74.55420245,85.54442129,87.27488917,88.49890317,89.43028486,90.9
Uzbekistan,UZB,15.9,18.6,23.6,26.8,35.5,42.8,46.79128694,48.69999885,55.20000067,70.4000024,71.1
St. Vincent and the Grenadines,VCT,33.7,36.7,40,43.5,47.4,49.4,51.5,53.7,56,60.17165815,61.00904922
"Venezuela, RB",VEN,37.37,40.22,49.05008307,54.9,57,58,60,61.6,62.37643992,65.45153734,68.68710497
Vietnam,VNM,30.65,35.07,36.8,38.5,41,45,53,58.14,69.84792868,68.66158021,70.3
World,WLD,28.93312086,31.37060445,33.88658493,35.83993239,38.06592861,40.45705481,43.33835401,45.83983516,49.39648643,54.01298636,59.94024662
Samoa,WSM,7,11,12.92249,15.3,21.2,25.40700977,29.41173011,33.61093932,35.83993239,38.06592861,40.45705481
"Yemen, Rep.",YEM,12.35,14.905,17.4465,20,22.55,24.08540947,24.57920836,26.71835477,25.40700977,29.41173011,33.61093932
South Africa,ZAF,24,33.97,41,46.5,49,51.91911572,54,56.16739447,62.4,68.2,70
Zambia,ZMB,3,3.5,4.1,4.8,6.5,8.8,10.3,12.2,14.2999971,16.8,19.8
Zimbabwe,ZWE,6.4,8.4,12,15.5,16.36473996,22.7428181,23.11998904,24.4,25,25.1,29.3
